"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.jundiai"	"Jundiaí"	431900
"http://rdf.freebase.com/ns/en.qaraghandy_province"	"Karagandy Province"	428000
"http://rdf.freebase.com/ns/en.california"	"California"	423970
"http://rdf.freebase.com/ns/en.kimberley_region_of_western_australia"	"Kimberley"	423517
"http://rdf.freebase.com/ns/en.western_new_guinea"	"Postage stamps and postal history of Western New Guinea"	420540
"http://rdf.freebase.com/ns/en.komi_republic"	"Komi Republic"	415900
"http://rdf.freebase.com/ns/en.ar_riyad_province"	"Riyadh Province"	412000
"http://rdf.freebase.com/ns/en.cabo_frio"	"Cabo Frio"	410415
"http://rdf.freebase.com/ns/en.sao_joao_nepomuceno"	"São João Nepomuceno"	407896
"http://rdf.freebase.com/ns/en.kenora_district_ontario"	"Kenora District"	407192.56
"http://rdf.freebase.com/ns/en.paraguay"	"Paraguay"	406752
"http://rdf.freebase.com/ns/m.08wy1r"	"São Sebastião"	403336
"http://rdf.freebase.com/ns/en.armenian_highland"	"Armenian Highland"	400000
"http://rdf.freebase.com/ns/en.zimbabwe"	"Zimbabwe"	390757
"http://rdf.freebase.com/ns/en.second_polish_republic"	"Second Polish Republic"	388634
"http://rdf.freebase.com/ns/en.norway"	"Norway"	385252
"http://rdf.freebase.com/ns/en.montana"	"Montana"	381154
"http://rdf.freebase.com/ns/en.yellow_sea"	"Yellow Sea"	380000
"http://rdf.freebase.com/ns/en.shire_of_east_pilbara"	"Shire of East Pilbara"	379571
"http://rdf.freebase.com/ns/en.japan"	"Japan"	377944
"http://rdf.freebase.com/ns/en.baltic_sea"	"Baltic Sea"	377000
"http://rdf.freebase.com/ns/en.al_wadi_al_jadid"	"New Valley Governorate"	376505
"http://rdf.freebase.com/ns/en.northern_cape"	"Northern Cape"	372889
"http://rdf.freebase.com/ns/en.amur_oblast"	"Amur Oblast"	363700
"http://rdf.freebase.com/ns/en.chihuahuan_desert"	"Chihuahuan Desert"	362600
"http://rdf.freebase.com/ns/en.mato_grosso_do_sul"	"Mato Grosso do Sul"	357124.962
